Question	Answer	Source	Metadata
What is the CarWash app?	The new CarWash app is intended to help employees working in Graphisoft park (Budapest, Hungary) reserve car washing services.	carwash_faq.tsv	
How to get started?	You can access the app from a web browser any time using this url: [https://aka.ms/carwash](https://aka.ms/carwash). Moreover on Windows, Android and iOS you can install the native app! Or you can make your reservation using this bot! 🤖	carwash_faq.tsv	
How to use the app?	You can access the app from a web browser any time using this url: [https://aka.ms/carwash](https://aka.ms/carwash). Moreover on Windows, Android and iOS you can install the native app! Or you can make your reservation using this bot! 🤖	carwash_faq.tsv	
Where to start?	You can access the app from a web browser any time using this url: [https://aka.ms/carwash](https://aka.ms/carwash). Moreover on Windows, Android and iOS you can install the native app! Or you can make your reservation using this bot! 🤖	carwash_faq.tsv	
How to get the native Windows app?	Install the app from the [Microsoft Store](https://www.microsoft.com/en-us/p/carwash/9mv3gs6v9wgz)! Use your corporate account to log in.	carwash_faq.tsv	
How to get the native iOS app?	The iOS native app is coming soon. Please use the browser version in the next few weeks till the app gets published. Use your corporate account to log in.	carwash_faq.tsv	
How to get the native Android app?	Open the website: [https://aka.ms/carwash](https://aka.ms/carwash). Log in with your corporate account. You will see a small banner at the bottom of the page saying Add CarWash to Home screen. If you can’t see the banner, click the vertical 3-dot button to open the menu and choose Add CarWash to Home screen. After a few seconds, you should see the app icon in the app drawer.	carwash_faq.tsv	
What’s new?	Cross-platform. You can easily use the app on all your devices thanks to a new technology called Progressive Web Apps!  \n\nCross-company. Now Microsoft, SAP and Graphisoft employees can use the app together.   \n\nReminders using either push notification or email. You will never forget to drop off the key in time! 😊 (Of course you can turn these off.)  \n\nCalendar integration on every device. You will get a non-blocker meeting request right away. (And this also can be disabled.)	carwash_faq.tsv	
What's the difference with the old app?	Cross-platform. You can easily use the app on all your devices thanks to a new technology called Progressive Web Apps!  \n\nCross-company. Now Microsoft, SAP and Graphisoft employees can use the app together.   \n\nReminders using either push notification or email. You will never forget to drop off the key in time! 😊 (Of course you can turn these off.)  \n\nCalendar integration on every device. You will get a non-blocker meeting request right away. (And this also can be disabled.)	carwash_faq.tsv	
Who can use the CarWash app?	Every employee of Microsoft, SAP and Graphisoft who is working in Graphisoft park (Budapest, Hungary).	carwash_faq.tsv	
How do I log in to the CarWash app?	Use your corporate account to log in. It should look like this: somebody@microsoft.com, somebody@sap.com or somebody@graphisoft.com.	carwash_faq.tsv	
